iter	Logloss
0	0.664553721
1	0.6399106286
2	0.6176161186
3	0.5983683788
4	0.5810390505
5	0.5653778734
6	0.5536635536
7	0.542401581
8	0.5312005152
9	0.5219013808
10	0.5136880622
11	0.507423806
12	0.5010542839
13	0.4959906087
14	0.4910333421
15	0.4856449716
16	0.4809626689
17	0.4772024986
18	0.4732972628
19	0.4701568247
20	0.4668464136
21	0.4642441847
22	0.4618100633
23	0.4590458923
24	0.4569004158
25	0.4542068514
26	0.4518505099
27	0.4485292555
28	0.4460975873
29	0.4444932725
30	0.4416489562
31	0.4390954062
32	0.4364697499
33	0.4345514658
34	0.4324812441
35	0.4309997971
36	0.4299617219
37	0.4278742654
38	0.4252490258
39	0.4237771363
40	0.4196342556
41	0.4184445522
42	0.4167543038
43	0.4154750567
44	0.4125996995
45	0.4111447283
46	0.409675581
47	0.4086980993
48	0.4066438843
49	0.4058107251
50	0.4042168398
51	0.4023110475
52	0.399754253
53	0.3989239233
54	0.3980117919
55	0.39677445
56	0.3939864836
57	0.3933092848
58	0.3900471868
59	0.3891337442
60	0.3885549559
61	0.3868945625
62	0.3861707114
63	0.3852532545
64	0.3839458105
65	0.3819925524
66	0.3813989432
67	0.3803933156
68	0.3795463857
69	0.3787444388
70	0.3782196859
71	0.3766546472
72	0.3759360469
73	0.3749863496
74	0.3734026781
75	0.3722378241
76	0.3710615645
77	0.3699602636
78	0.3688216005
79	0.3671749047
80	0.3666081658
81	0.3652492303
82	0.3644459239
83	0.3637022711
84	0.3623317511
85	0.3613298283
86	0.3605966786
87	0.3580775097
88	0.357294976
89	0.3560527564
90	0.3534300643
91	0.3528919216
92	0.3525947411
93	0.3521313906
94	0.3515133353
95	0.3509750283
96	0.3501264509
97	0.3496057503
98	0.3489155055
99	0.3482737772
100	0.3460997476
101	0.3453808266
102	0.3446946382
103	0.3437390247
104	0.3429031332
105	0.3423967937
106	0.3410240782
107	0.3405452246
108	0.3395564485
109	0.3392021323
110	0.3386009679
111	0.3380281853
112	0.3368642369
113	0.3364159971
114	0.3361979972
115	0.3358300387
116	0.3353751708
117	0.3348051885
118	0.3344116478
119	0.3327711018
120	0.3316908002
121	0.3313267575
122	0.3309429573
123	0.3299881056
124	0.3294322748
125	0.3286274834
126	0.3278182313
127	0.3274204888
128	0.3269052593
129	0.3265741002
130	0.3250193058
131	0.3244742297
132	0.3239114824
133	0.3230348157
134	0.3222361493
135	0.321648042
136	0.320601284
137	0.3200380032
138	0.3195417093
139	0.3191056934
140	0.3182813414
141	0.3179953197
142	0.316409514
143	0.315921114
144	0.3154256878
145	0.3148659871
146	0.3144700935
147	0.3132033934
148	0.312708981
149	0.3121639547
150	0.311732154
151	0.3111082276
152	0.3106285214
153	0.310267072
154	0.3097220774
155	0.3089636582
156	0.3084363585
157	0.3073903319
158	0.3070429502
159	0.3066395568
160	0.3060752577
161	0.305581797
162	0.3051222709
163	0.3046546477
164	0.3040318881
165	0.3031822093
166	0.3013324526
167	0.3000843505
168	0.2997750185
169	0.298776443
170	0.2984797616
171	0.2979566571
172	0.2972603695
173	0.2968955354
174	0.296519413
175	0.2953072275
176	0.2948550174
177	0.2945114701
178	0.294249213
179	0.2938273662
180	0.2934749787
181	0.2930584313
182	0.2928032959
183	0.2924100329
184	0.2921475239
185	0.2917632663
186	0.2911501153
187	0.2905175776
188	0.2899587726
189	0.2896110545
190	0.2891708813
191	0.288191461
192	0.2875536577
193	0.2862467632
194	0.2855267864
195	0.2845099352
196	0.2841869541
197	0.2836700422
198	0.2831854133
199	0.2828188457
200	0.2816729826
201	0.2813209716
202	0.2801173963
203	0.2797893387
204	0.2795124372
205	0.2788892243
206	0.2785543016
207	0.2783421366
208	0.2781501268
209	0.2776896086
210	0.276900124
211	0.2760695013
212	0.2757014446
213	0.2753021547
214	0.274907004
215	0.2744186564
216	0.2740904689
217	0.2733467709
218	0.2724953873
219	0.271630058
220	0.2713650804
221	0.2711118093
222	0.2705640008
223	0.2701589262
224	0.2697480136
225	0.2694816637
226	0.2693310282
227	0.2689692245
228	0.268179015
229	0.2679125079
230	0.2669807207
231	0.2666554857
232	0.266438504
233	0.2661644395
234	0.2654566881
235	0.2652152853
236	0.2644326903
237	0.2637688022
238	0.2632806751
239	0.2630769657
240	0.2626462961
241	0.2623395909
242	0.2619951063
243	0.2617871767
244	0.2613245788
245	0.2611074015
246	0.2606583102
247	0.2603953657
248	0.2600873858
249	0.2597414719
250	0.2595087743
251	0.2592663392
252	0.2589264989
253	0.2587625736
254	0.2583575661
255	0.258120165
256	0.2573179171
257	0.2570393194
258	0.2566738658
259	0.2564130139
260	0.2561102502
261	0.2558130739
262	0.2552826356
263	0.2550542078
264	0.2548210266
265	0.254539106
266	0.2543916108
267	0.2540610691
268	0.2536890324
269	0.2533516723
270	0.2530743673
271	0.2527699039
272	0.2521562337
273	0.2519979661
274	0.2516858385
275	0.2512797863
276	0.250838338
277	0.2505507574
278	0.2502723454
279	0.2496191306
280	0.2492316826
281	0.2488734088
282	0.248627333
283	0.2484641796
284	0.2482489189
285	0.2479521061
286	0.2477182382
287	0.247546129
288	0.2473237918
289	0.2470550833
290	0.2466317574
291	0.2464617495
292	0.2462729989
293	0.2460203155
294	0.245841329
295	0.245439881
296	0.2453078958
297	0.2450414513
298	0.2448862369
299	0.244739064
300	0.2443322619
301	0.2439600847
302	0.2436431548
303	0.2433086248
304	0.2428990522
305	0.2423366826
306	0.2421251059
307	0.2418233538
308	0.2414442685
309	0.2412132486
310	0.2407257116
311	0.2403998859
312	0.2399319925
313	0.2396638465
314	0.2392448644
315	0.2390338765
316	0.2389706435
317	0.238801537
318	0.2383231551
319	0.2382065781
320	0.2375952552
321	0.2371993542
322	0.2369475505
323	0.2367076642
324	0.2365919269
325	0.2363009684
326	0.2359325323
327	0.2356429854
328	0.2353871616
329	0.2349240921
330	0.2346032196
331	0.2342200047
332	0.2340471306
333	0.233869164
334	0.2335914563
335	0.2334026238
336	0.2331493615
337	0.232821502
338	0.2326727865
339	0.2323036192
340	0.2320639192
341	0.2315608182
342	0.2312829441
343	0.2310446577
344	0.2307052062
345	0.2303070518
346	0.2301568868
347	0.2298154602
348	0.2296213321
349	0.2294755334
350	0.2293530386
351	0.2292424011
352	0.2290654811
353	0.2287068225
354	0.228393539
355	0.2282246729
356	0.2280802795
357	0.2277580841
358	0.2274867872
359	0.2272921011
360	0.2270945795
361	0.2268374902
362	0.2265984915
363	0.2264857704
364	0.2263392076
365	0.22608895
366	0.2259271086
367	0.2257997559
368	0.2256650995
369	0.2255067002
370	0.2253768775
371	0.2250652399
372	0.224814618
373	0.224534729
374	0.2243988996
375	0.2241983718
376	0.223970337
377	0.2237293578
378	0.223559036
379	0.2232548561
380	0.2228126436
381	0.2226387295
382	0.2224608531
383	0.2221242526
384	0.2218934152
385	0.2216156141
386	0.2215172312
387	0.2213343441
388	0.2211290988
389	0.2209920659
390	0.2207881646
391	0.2205780677
392	0.2204329202
393	0.2202375353
394	0.2199999044
395	0.2198211095
396	0.2196584581
397	0.2193961477
398	0.2191955168
399	0.2189655969
400	0.2188395007
401	0.2185251909
402	0.2181284592
403	0.2179770994
404	0.217679198
405	0.2173458134
406	0.2171225123
407	0.2169935385
408	0.2169010856
409	0.2167716516
410	0.2166218511
411	0.2162924408
412	0.21599944
413	0.215753671
414	0.2153957348
415	0.2151308587
416	0.214906431
417	0.2147495516
418	0.2144096796
419	0.2140438148
420	0.2137302807
421	0.2136267672
422	0.2134033595
423	0.2131513325
424	0.21285712
425	0.212551468
426	0.2124450971
427	0.2121944827
428	0.2119383418
429	0.2118568721
430	0.2116887714
431	0.211475845
432	0.2112225707
433	0.2110117568
434	0.2107013617
435	0.210512097
436	0.2103672993
437	0.2099575828
438	0.2096771159
439	0.2094610978
440	0.2092763814
441	0.2089704842
442	0.2087770914
443	0.2085987714
444	0.208443581
445	0.2082100965
446	0.20791182
447	0.2076705819
448	0.2074518626
449	0.2072166569
450	0.2070636726
451	0.2068714799
452	0.2066212567
453	0.2064973228
454	0.2063535045
455	0.2062413809
456	0.2060683669
457	0.2058310736
458	0.205576598
459	0.2052750092
460	0.2050841337
