iter	Passed	Remaining
409	5424	1190
410	5459	1182
411	5476	1169
412	5493	1157
413	5513	1145
414	5530	1132
415	5547	1120
416	5561	1107
417	5587	1096
418	5612	1084
419	5627	1071
420	5638	1058
421	5653	1044
422	5669	1032
423	5685	1019
424	5697	1005
425	5712	992
426	5729	979
427	5751	967
428	5773	955
429	5814	946
430	5836	934
431	5858	922
432	5879	909
433	5901	897
434	5922	885
435	5944	872
436	5982	862
437	6007	850
438	6033	838
439	6049	824
440	6068	811
441	6086	798
442	6103	785
443	6121	772
444	6140	758
445	6158	745
446	6175	732
447	6207	720
448	6224	707
449	6239	693
450	6251	679
451	6264	665
452	6279	651
453	6290	637
454	6303	623
455	6317	609
456	6328	595
457	6342	581
458	6354	567
459	6366	553
460	6378	539
461	6393	525
462	6409	512
463	6423	498
464	6435	484
465	6448	470
466	6461	456
467	6473	442
468	6486	428
469	6498	414
470	6509	400
471	6521	386
472	6532	372
473	6548	359
474	6562	345
475	6573	331
476	6585	317
477	6595	303
478	6606	289
479	6616	275
480	6627	261
481	6637	247
482	6647	233
483	6658	220
484	6668	206
485	6679	192
486	6691	178
487	6708	164
488	6718	151
489	6728	137
490	6742	123
491	6755	109
492	6812	96
493	6834	83
494	6849	69
495	6867	55
496	6877	41
497	6890	27
498	6900	13
499	6913	0
